website_url,domain,status_code,access_status,title,meta_description,h1,h2_headings,emails_found,phones_found,social_links,about_page,contact_page,error,scraped_at
https://www.notion.so,www.notion.so,200,success,The AI workspace that works for you. | Notion,"Build Custom Agents, search across all your apps, and automate busywork. The AI workspace where teams get more done, faster.",Meet the night shift.,"Keep work moving 24/7. | Automate repetitive work for your team. | Ask your on-demand assistants. | You assign the tasks. Notion Agent does the work. | One search for everything. | Perfect notes, every time. | Bring all your work together. | Simple and powerful. | One source of truth for teams and agents. | Less tracking. More progress.",,,https://twitter.com/NotionHQ | https://www.facebook.com/NotionHQ/ | https://www.instagram.com/notionhq/ | https://www.linkedin.com/company/notionhq/ | https://www.youtube.com/channel/UCoSvlWS5XcwaSzIcbuJ-Ysg,https://www.linkedin.com/company/notionhq/,https://www.notion.so/help,,2026-06-24 16:56:40
https://www.dropbox.com,www.dropbox.com,200,success,Dropbox.com,"Discover Dropbox – secure, easy cloud storage for file sharing and collaboration. With Dash, save time and organize all your company content in one place.","Get to work, with a lot less work","Join the over 700 million registered users who trust Dropbox | Find it fast, every time | Everything in order, everyone aligned | Send it safely, share it fast | Security never comes second | Dropbox empowers across industries | Discover, learn, thrive with Dropbox",,,https://blog.dropbox.com/ | https://blog.dropbox.com/topics/work-culture/economist-impact-cost-of-lost-focus-research-study-2023 | https://dash.dropbox.com | https://dash.dropbox.com/mclarenf1 | https://events.dropbox.com | https://experience.dropbox.com/get-organized/best-way-to-share-photos | https://experience.dropbox.com/partner-locator | https://experience.dropbox.com/sitemap | https://fax.dropbox.com/ | https://help.dropbox.com/ | https://help.dropbox.com/accounts-billing/security/cookies | https://jobs.dropbox.com | https://learn.dropbox.com | https://sign.dropbox.com/ | https://twitter.com/Dropbox | https://www.dropbox.com#main-content | https://www.dropbox.com#manage-cookies | https://www.dropbox.com/ | https://www.dropbox.com/about | https://www.dropbox.com/ai-principles | https://www.dropbox.com/app-integrations | https://www.dropbox.com/business | https://www.dropbox.com/business/partners | https://www.dropbox.com/business/solutions | https://www.dropbox.com/business/solutions/construction | https://www.dropbox.com/business/solutions/creatives | https://www.dropbox.com/business/solutions/human-resources | https://www.dropbox.com/business/solutions/it | https://www.dropbox.com/business/solutions/manufacturing | https://www.dropbox.com/business/solutions/marketing | https://www.dropbox.com/business/solutions/media | https://www.dropbox.com/business/solutions/professional-services | https://www.dropbox.com/business/solutions/sales | https://www.dropbox.com/business/solutions/technology | https://www.dropbox.com/contact | https://www.dropbox.com/contact-sales | https://www.dropbox.com/corporate-responsibility | https://www.dropbox.com/customers | https://www.dropbox.com/desktop | https://www.dropbox.com/developers | https://www.dropbox.com/docsend | https://www.dropbox.com/dropbox | https://www.dropbox.com/early-access | https://www.dropbox.com/education | https://www.dropbox.com/enterprise | https://www.dropbox.com/features | https://www.dropbox.com/features/cloud-storage | https://www.dropbox.com/features/cloud-storage/file-backup | https://www.dropbox.com/features/cloud-storage/photos | https://www.dropbox.com/features/productivity/convert-to-pdf | https://www.dropbox.com/features/productivity/electronic-signature | https://www.dropbox.com/features/productivity/pdf-editor | https://www.dropbox.com/features/security | https://www.dropbox.com/features/share | https://www.dropbox.com/features/share/file-transfer | https://www.dropbox.com/features/share/send-large-files | https://www.dropbox.com/features/share/send-long-videos | https://www.dropbox.com/login | https://www.dropbox.com/mobile | https://www.dropbox.com/mobile?trigger=on | https://www.dropbox.com/plans | https://www.dropbox.com/plans?trigger=nr | https://www.dropbox.com/plus | https://www.dropbox.com/pro | https://www.dropbox.com/product-updates | https://www.dropbox.com/refer | https://www.dropbox.com/register | https://www.dropbox.com/replay | https://www.dropbox.com/resources | https://www.dropbox.com/sign | https://www.dropbox.com/templates | https://www.dropbox.com/terms | https://www.dropbox.com/tools | https://www.facebook.com/Dropbox/ | https://www.youtube.com/user/dropbox,https://dash.dropbox.com,https://www.dropbox.com/contact-sales,,2026-06-24 16:56:43
https://www.airbnb.com,www.airbnb.com,200,success,"Airbnb: Vacation Rentals, Cabins, Beach Houses, Unique Homes & Experiences",Get an Airbnb for every kind of trip → 8 million vacation rentals → 2 million Guest Favorites → 220+ countries and regions worldwide,Airbnb homepage,Homes on Airbnb | Homes on Airbnb | Homes on Airbnb,,,,,https://www.airbnb.com/help,,2026-06-24 16:56:45
https://www.uber.com,www.uber.com,406,blocked_or_failed,,,,,,,,,,HTTP 406,2026-06-24 16:56:48
https://www.hubspot.com,www.hubspot.com,200,success,HubSpot | Software & Tools for your Business - Homepage,"HubSpot's customer platform includes all the marketing, sales, customer service, and CRM software you need to grow your business.",Where go-to-market teams go to grow scale close retain grow,The HubSpot Customer Platform | Marketing | Sales | Customer Service | Content | Startups & Small Businesses | Artificial Intelligence | By Team Size | Why HubSpot? | Featured Links,,,https://www.facebook.com/hubspot | https://www.instagram.com/hubspot/ | https://www.linkedin.com/company/hubspot | https://www.tiktok.com/@hubspot | https://x.com/HubSpot | https://youtube.com/user/HubSpot,https://www.hubspot.com/our-story,https://help.hubspot.com,,2026-06-24 16:56:50
https://www.atlassian.com,www.atlassian.com,200,success,"Collaboration software for software, IT and business teams | Atlassian","Atlassian's team collaboration software like Jira, Confluence and Trello help teams organize, discuss, and complete shared work.",Unleash your teams and their agents,Featured apps | Atlassian Collections | By Use Case | By Team | By Size | By Industry | Support | Resources | Featured apps | Atlassian Collections,,,https://www.youtube.com/watch?si=MpOdM6Z41YlAqx6d&v=RdunfbobxaY&feature=youtu.be | https://www.youtube.com/watch?v=nfD2uEgHQCk,https://www.atlassian.com/company/contact/general-inquiries,https://support.atlassian.com/,,2026-06-24 16:56:52
https://www.slack.com,www.slack.com,200,success,Slack | AI Work Platform & Productivity Tools,"Boost productivity and save time with Slack‌ — ‌the AI work platform for managing projects, automating workflows, and connecting teams securely. Start working smarter today.",All your people and AI agents working together.,Reimagine what’s possible with AI and agents. | What’s new in Slack | Knowledge | People | Process | Platform | The most innovative companies run their business in Slack. | We’re in the business of growing businesses. | Millions of people love to work in Slack. | Your Slack deep dive starts here.,,,https://facebook.com/slackhq | https://twitter.com/slackhq | https://www.instagram.com/slackhq/ | https://www.linkedin.com/company/tiny-spec-inc/ | https://www.tiktok.com/@slackhq | https://www.youtube.com/channel/UCY3YECgeBcLCzIrFLP4gblw | https://www.youtube.com/embed/8NjVIWfje1o | https://www.youtube.com/embed/EOTqujB8_R4 | https://www.youtube.com/embed/SyuBcwa0bqQ | https://www.youtube.com/embed/o2c2_EGP8w4,https://slack.com/features/slackbot,https://slack.com/features/crm/small-business,,2026-06-24 16:56:55
https://www.figma.com,www.figma.com,200,success,Figma: The Collaborative Interface Design Tool,"Figma is the leading collaborative design platform for building meaningful products. Design, prototype, and build products faster—while gathering feedback all in one place.","Make anything possible, all in Figma","Use cases | Roles | Organizations | Get started | Learn | Prompt, code, and design from first idea to final product | Bring everyone together with systems that scale | Ship products, any way you want | Explore what people are making | Start with a template. Make just about anything.",,,https://www.facebook.com/figmadesign | https://www.instagram.com/figma | https://www.linkedin.com/in/masaya-takizawa/ | https://www.youtube.com/@RaulMarin_Figma | https://www.youtube.com/figmadesign | https://x.com/ayaneshu_ | https://x.com/figma | https://x.com/guiseiz | https://x.com/karyanayli | https://x.com/lenjaminbeonard | https://x.com/smee_leee,https://www.figma.com/customers/,https://help.figma.com/hc/en-us,,2026-06-24 16:56:58
https://www.stripe.com,www.stripe.com,200,success,Stripe | Financial Infrastructure to Grow Your Revenue,"Stripe is a financial services platform that helps all types of businesses accept payments, build flexible billing models, and manage money movement.","Financial infrastructure to grow your revenue. Accept payments, offer financial services, and implement custom revenue models—from your first transaction to your billionth.","Flexible solutions for every business model. | The backbone of global commerce | Powering businesses of all sizes. | Reliable, extensible infrastructure for every stack. | What’s happening",,+1 888 926 2289 | 2025 99.999,https://www.youtube.com/watch?v=eMSqlQMk480,https://www.stripe.com/atlas,https://www.stripe.com/contact/sales,,2026-06-24 16:57:00
https://www.zoom.com,www.zoom.com,200,success,One platform to connect | Zoom,"Modernize workflows with Zoom's trusted collaboration tools: including video meetings, Zoom Chat, VoIP phone, webinars, whiteboard, contact center, and events.",Find out what's possible when work connects,My NotesYour new AI note taker | One platform. Endless ways to work together. | Trusted by millions. Built for you. | Businesses achieve more with Zoom | See what Zoom can do for your business,,+1.888.799.9666,https://twitter.com/zoom | https://www.facebook.com/zoom | https://www.instagram.com/zoom/ | https://www.linkedin.com/company/zoom/ | https://www.youtube.com/watch?v=AbLapi4wIvg | https://www.youtube.com/zoommeetings,https://www.zoom.com/en/about/,https://support.zoom.com/hc/en,,2026-06-24 16:57:04
